DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES;QT_SECOES_AGREGADAS;QT_APTOS_TOT;QT_SECOES_TOT;QT_COMPARECIMENTO;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_LEGENDA;QT_VOTOS_PENDENTES;QT_VOTOS_ANULADOS;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59013;SÃO JOÃO DE MERITI;59013;SÃO JOÃO DE MERITI;46;11;Prefeito;35424;97;35;35424;97;26850;8574;N;20219;1788;4843;0;0;0;19:21:19;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58653;NITERÓI;58653;NITERÓI;72;11;Prefeito;50042;160;0;50042;160;42522;7520;N;31976;3150;7396;0;0;0;19:51:16;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58971;SÃO GONÇALO;58971;SÃO GONÇALO;137;13;Vereador;59527;172;1;59527;172;46153;13374;N;35463;2929;5393;2368;0;0;19:27:23;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;176;11;Prefeito;48324;113;3;48324;113;36260;12064;N;28607;1609;6044;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59137;SUMIDOURO;59137;SUMIDOURO;64;13;Vereador;13730;44;16;13730;44;11816;1914;N;10742;183;221;670;0;0;18:27:33;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58327;PORTO REAL;58327;PORTO REAL;183;13;Vereador;16931;47;2;16931;47;14923;2008;N;13524;145;639;615;0;0;18:21:35;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58190;CAMPOS DOS GOYTACAZES;58190;CAMPOS DOS GOYTACAZES;99;11;Prefeito;37801;121;0;37801;121;30204;7597;N;28580;480;1144;0;0;0;14:44:28;16/11/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;212;11;Prefeito;26022;68;0;26022;68;18428;7594;N;16800;443;1185;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59013;SÃO JOÃO DE MERITI;59013;SÃO JOÃO DE MERITI;145;13;Vereador;52983;155;9;52983;155;42021;10962;N;34785;1758;3888;1590;0;0;16:32:42;06/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;170;11;Prefeito;53887;121;0;53887;121;39857;14030;N;34338;1370;4149;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58998;SÃO JOÃO DA BARRA;58998;SÃO JOÃO DA BARRA;37;13;Vereador;37631;105;7;37631;105;32206;5425;N;30070;446;606;1084;0;0;19:58:17;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;119;11;Prefeito;79216;170;2;79216;170;59951;19265;N;53545;2045;4361;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58637;NILÓPOLIS;58637;NILÓPOLIS;221;11;Prefeito;31185;92;3;31185;92;26052;5133;N;23526;684;1842;0;0;0;18:39:39;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58270;CONCEIÇÃO DE MACABU;58270;CONCEIÇÃO DE MACABU;51;11;Prefeito;17631;65;8;17631;65;14202;3429;N;11224;343;2635;0;0;0;14:44:20;29/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59196;TRÊS RIOS;59196;TRÊS RIOS;174;11;Prefeito;39923;113;15;39923;113;33320;6603;N;29741;1218;2361;0;0;0;19:21:15;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58165;COMENDADOR LEVY GASPARIAN;58165;COMENDADOR LEVY GASPARIAN;40;13;Vereador;7745;25;2;7745;25;6981;764;N;6435;84;164;298;0;0;18:51:19;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;188;13;Vereador;47085;113;7;47085;113;36225;10860;N;27115;2632;4099;2379;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;7;13;Vereador;72571;174;0;72571;174;52498;20073;N;38549;2850;6692;4407;0;0;13:55:48;01/12/2016
